 schemaname |   tablename   |   column_name   | n_distinct  | mcv_count | histogram_bins | correlation  | null_frac | avg_width 
 public     | _reference127 | _fld1831_rrref  |           1 |         1 |                |            1 |         0 |        17
 public     | _reference127 | _fld1831_rtref  |           2 |         2 |                |    0.8860852 |         0 |         5
 public     | _reference127 | _fld1831_type   |           1 |         1 |                |            1 |         0 |         2
 public     | _reference127 | _fld1832rref    |           2 |         2 |                |   0.50350326 |         0 |        17
 public     | _reference127 | _fld1833        | -0.39262187 |         2 |            296 |    0.8355084 |         0 |         3
 public     | _reference127 | _fld1834rref    |          47 |        40 |              7 |  -0.29586703 |         0 |        17
 public     | _reference127 | _fld809         |           1 |         1 |                |            1 |         0 |         3
 public     | _reference127 | _idrref         |          -1 |           |            501 |   0.07025076 |         0 |        17
 public     | _reference127 | _marked         |           2 |         2 |                |   -0.2822618 |         0 |         1
 public     | _reference127 | _predefinedid   |           1 |         1 |                |            1 |         0 |        20
 public     | _reference127 | _version        |           1 |         1 |                |            1 |         0 |         4
 public     | _reference147 | _code           |          -1 |           |                |              |         0 |        19
 public     | _reference147 | _description    |          -1 |           |                |              |         0 |        27
 public     | _reference147 | _fld2132_rrref  |          -1 |           |                |              |         0 |        17
 public     | _reference147 | _fld2132_rtref  |          -1 |           |                |              |         0 |         5
 public     | _reference147 | _fld2132_type   |          -1 |           |                |              |         0 |         2
 public     | _reference147 | _fld2133        |          -1 |           |                |              |         0 |         8
 public     | _reference147 | _fld2134        |          -1 |           |                |              |         0 |         1
 public     | _reference147 | _fld2135        |          -1 |           |                |              |         0 |         1
 public     | _reference147 | _fld809         |          -1 |           |                |              |         0 |         3
 public     | _reference147 | _idrref         |          -1 |           |                |              |         0 |        17
 public     | _reference147 | _marked         |          -1 |           |                |              |         0 |         1
 public     | _reference147 | _parentidrref   |          -1 |           |                |              |         0 |        20
 public     | _reference147 | _predefinedid   |          -1 |           |                |              |         0 |        20
 public     | _reference147 | _version        |          -1 |           |                |              |         0 |         4
 public     | _reference312 | _code           |          -1 |           |            501 |    0.8900151 |         0 |       101
 public     | _reference312 | _description    | -0.74738675 |        93 |            336 |    0.0886461 |         0 |        68
 public     | _reference312 | _fld1269rref    |           1 |         1 |                |            1 |         0 |        17
 public     | _reference312 | _fld4780_rrref  |          26 |        20 |              6 |     0.314383 |         0 |        17
 public     | _reference312 | _fld4780_rtref  |           1 |         1 |                |            1 |         0 |         5
 public     | _reference312 | _fld4780_type   |           1 |         1 |                |            1 |         0 |         2
 public     | _reference312 | _fld4781_rrref  |  -0.5487805 |       135 |            180 |  -0.24625185 |         0 |        17
 public     | _reference312 | _fld4781_rtref  |           3 |         2 |                |    0.9897413 |         0 |         5
 public     | _reference312 | _fld4781_type   |           1 |         1 |                |            1 |         0 |         2
 public     | _reference312 | _fld4782        |           1 |         1 |                |            1 |         0 |         8
 public     | _reference312 | _fld4783        |  -0.9982578 |         1 |            501 |   0.89001584 |         0 |         8
 public     | _reference312 | _fld4784        |           1 |         1 |                |            1 |         0 |         1
 public     | _reference312 | _fld4785        |           9 |         8 |                |    0.9139689 |         0 |         5
 public     | _reference312 | _fld4786        |           1 |         1 |                |            1 |         0 |         1
 public     | _reference312 | _fld4787        |           1 |         1 |                |            1 |         0 |         1
 public     | _reference312 | _fld4788        |           2 |         2 |                |    0.6711636 |         0 |         1
 public     | _reference312 | _fld4789        | -0.74738675 |        93 |            336 |    0.0886461 |         0 |        68
 public     | _reference312 | _fld4790rref    |           1 |         1 |                |            1 |         0 |        17
 public     | _reference312 | _fld4791_rrref  |           1 |         1 |                |            1 |         0 |        17
 public     | _reference312 | _fld4791_rtref  |           1 |         1 |                |            1 |         0 |         5
 public     | _reference312 | _fld4791_type   |           1 |         1 |                |            1 |         0 |         2
 public     | _reference312 | _fld4792rref    |           1 |         1 |                |            1 |         0 |        17
 public     | _reference312 | _fld4793rref    |          -1 |           |            501 |  -0.23554955 |         0 |        17
 public     | _reference312 | _fld4794_rrref  |          26 |        20 |              6 |     0.314383 |         0 |        17
 public     | _reference312 | _fld4794_rtref  |           1 |         1 |                |            1 |         0 |         5
 public     | _reference312 | _fld4794_type   |           1 |         1 |                |            1 |         0 |         2
 public     | _reference312 | _fld4795        | -0.74390244 |        93 |            334 |   0.73108906 |         0 |         8
 public     | _reference312 | _fld4796        |  -0.9982578 |         1 |            501 |    0.8900151 |         0 |         8
 public     | _reference312 | _fld4797        |           1 |         1 |                |            1 |         0 |       101
 public     | _reference312 | _fld4798        |           1 |         1 |                |            1 |         0 |         5
 public     | _reference312 | _fld4799        |           1 |         1 |                |            1 |         0 |         1
 public     | _reference312 | _fld4800        | -0.77874565 |        84 |            363 |  0.035318557 |         0 |         7
 public     | _reference312 | _fld4801        |          10 |         8 |              2 |    0.9465714 |         0 |         7
 public     | _reference312 | _fld4802rref    |           1 |         1 |                |            1 |         0 |        17
 public     | _reference312 | _fld4803        |           1 |         1 |                |            1 |         0 |        19
 public     | _reference312 | _fld4804        |           1 |         1 |                |            1 |         0 |         1
 public     | _reference312 | _fld4805rref    |           2 |         2 |                |    0.9945617 |         0 |        17
 public     | _reference312 | _fld4806        |           1 |         1 |                |            1 |         0 |         1
 public     | _reference312 | _fld809         |           1 |         1 |                |            1 |         0 |         3
 public     | _reference312 | _idrref         |          -1 |           |            501 |  -0.23554955 |         0 |        17
 public     | _reference312 | _marked         |           2 |         2 |                |   0.56867975 |         0 |         1
 public     | _reference312 | _predefinedid   |           1 |         1 |                |            1 |         0 |        20
 public     | _reference312 | _version        |           1 |         1 |                |            1 |         0 |         4
(191 rows)
